Age,Sex,Embarked,Survived
22,male,S,0
38,female,C,1
26,female,S,1
35,female,S,1
35,male,S,0
,male,Q,0
54,male,S,0
2,male,S,0
27,female,S,1
14,female,C,1
4,female,S,1
58,female,S,1
20,male,S,0
39,male,S,0
14,female,S,0
55,female,S,1
2,male,Q,0
,male,S,1
31,female,S,0
,female,C,1
35,male,S,0
34,male,S,1
15,female,Q,1
28,male,S,1
8,female,S,0
38,female,S,1
,male,C,0
19,male,S,0
,female,Q,1
,male,S,0
40,male,C,0
,female,C,1
,female,Q,1
66,male,S,0
28,male,C,0
42,male,S,0
,male,C,1
21,male,S,0
18,female,S,0
14,female,C,1
40,female,S,0
27,female,S,0
,male,C,0
3,female,C,1
19,female,Q,1
,male,S,0
,male,Q,0
,female,Q,1
,male,C,0
18,female,S,0
7,male,S,0
21,male,S,0
49,female,C,1
29,female,S,1
65,male,C,0
,male,S,1
21,female,S,1
28.5,male,C,0
5,female,S,1
11,male,S,0
22,male,C,0
38,female,,1
45,male,S,0
4,male,S,0
,male,C,0
,male,C,1
29,female,S,1
19,male,S,0
17,female,S,1
26,male,S,0
32,male,S,0
16,female,S,0
21,male,S,0
26,male,C,0
32,male,S,1
25,male,S,0
,male,S,0
,male,S,0
0.83,male,S,1
30,female,S,1
22,male,S,0
29,male,S,1
,female,Q,1
28,male,S,0
17,female,S,1
33,female,S,1
16,male,S,0
,male,S,0
23,female,S,1
24,male,S,0
29,male,S,0
20,male,S,0
46,male,S,0
26,male,S,0
59,male,S,0
,male,S,0
71,male,C,0
23,male,C,1
34,female,S,1
34,male,S,0
28,female,S,0
,male,S,0
21,male,S,0
33,male,S,0
37,male,S,0
28,male,S,0
21,female,S,1
,male,S,1
38,male,S,0
,female,Q,1
47,male,S,0
14.5,female,C,0
22,male,S,0
20,female,S,0
17,female,C,0
21,male,S,0
70.5,male,Q,0
29,male,S,0
24,male,C,0
2,female,S,0
21,male,S,0
,male,S,0
32.5,male,C,0
32.5,female,S,1
54,male,S,0
12,male,C,1
,male,Q,0
24,male,S,1
,female,C,1
45,male,S,0
33,male,C,0
20,male,S,0
47,female,S,0
29,female,S,1
25,male,S,0
23,male,C,0
19,female,S,1
37,male,S,0
16,male,S,0
24,male,C,0
